Iteration No.,PM2.5 Readings,Second Elapsed
1,2,0
1,2,20
1,2,40
1,1,60
1,2,80
1,1,100
1,728,120
1,1207,140
1,1228,160
1,1380,180
1,1457,200
1,1555,220
1,1495,240
1,1507,260
1,1506,280
1,1434,300
1,1379,320
1,1402,340
1,1360,360
1,1301,380
1,1337,400
1,1371,420
1,1373,440
1,1407,460
1,595,480
1,159,500
1,37,520
1,10,540
1,2,560
1,2,580
2,3,0
2,3,20
2,4,40
2,1,60
2,2,80
2,6,100
2,469,120
2,692,140
2,817,160
2,964,180
2,995,200
2,1142,220
2,1239,240
2,1272,260
2,1268,280
2,1270,300
2,1257,320
2,1210,340
2,1228,360
2,1192,380
2,1252,400
2,1234,420
2,1181,440
2,1055,460
2,847,480
2,226,500
2,52,520
2,13,540
2,4,560
2,5,580
3,1,0
3,1,20
3,1,40
3,2,60
3,2,80
3,10,100
3,609,120
3,825,140
3,897,160
3,1021,180
3,968,200
3,1033,220
3,976,240
3,988,260
3,973,280
3,1080,300
3,1071,320
3,1116,340
3,1156,360
3,1168,380
3,1112,400
3,1104,420
3,1114,440
3,1022,460
3,515,480
3,150,500
3,36,520
3,12,540
3,5,560
3,3,580
4,2,0
4,2,20
4,2,40
4,2,60
4,1,80
4,2,100
4,358,120
4,566,140
4,733,160
4,888,180
4,926,200
4,1092,220
4,1300,240
4,1374,260
4,1350,280
4,1319,300
4,1339,320
4,1240,340
4,1255,360
4,1195,380
4,1156,400
4,1125,420
4,1121,440
4,1083,460
4,833,480
4,291,500
4,74,520
4,20,540
4,6,560
4,3,580
5,2,0
5,2,20
5,2,40
5,3,60
5,1,80
5,10,100
5,753,120
5,1134,140
5,1361,160
5,1481,180
5,1626,200
5,1684,220
5,1731,240
5,1722,260
5,1758,280
5,1742,300
5,1756,320
5,1773,340
5,1767,360
5,1783,380
5,1773,400
5,1795,420
5,1797,440
5,1640,460
5,443,480
5,118,500
5,34,520
5,11,540
5,3,560
5,4,580
