Iteration No.,PM2.5 Readings,Second Elapsed
1,415,0
1,301,20
1,581,40
1,703,60
1,54,80
1,320,100
1,443,120
1,398,140
1,399,160
1,166,180
1,760,200
1,391,220
1,244,240
1,230,260
1,464,280
1,94,300
1,659,320
1,416,340
1,631,360
1,521,380
1,218,400
1,261,420
1,130,440
1,603,460
1,579,480
1,500,500
1,677,520
1,440,540
1,621,560
1,81,580
2,92,0
2,744,20
2,565,40
2,402,60
2,366,80
2,267,100
2,674,120
2,395,140
2,368,160
2,771,180
2,83,200
2,434,220
2,572,240
2,680,260
2,616,280
2,672,300
2,319,320
2,20,340
2,278,360
2,77,380
2,523,400
2,179,420
2,258,440
2,24,460
2,619,480
2,686,500
2,244,520
2,685,540
2,146,560
2,26,580
3,592,0
3,430,20
3,65,40
3,301,60
3,165,80
3,448,100
3,548,120
3,654,140
3,680,160
3,180,180
3,626,200
3,580,220
3,302,240
3,606,260
3,430,280
3,516,300
3,146,320
3,484,340
3,787,360
3,398,380
3,675,400
3,526,420
3,758,440
3,438,460
3,774,480
3,10,500
3,584,520
3,59,540
3,153,560
3,85,580
4,618,0
4,425,20
4,652,40
4,276,60
4,479,80
4,42,100
4,18,120
4,460,140
4,378,160
4,103,180
4,248,200
4,492,220
4,416,240
4,738,260
4,194,280
4,439,300
4,596,320
4,283,340
4,352,360
4,469,380
4,298,400
4,445,420
4,439,440
4,282,460
4,400,480
4,579,500
4,177,520
4,445,540
4,324,560
4,270,580
5,451,0
5,593,20
5,264,40
5,675,60
5,244,80
5,480,100
5,677,120
5,755,140
5,170,160
5,231,180
5,229,200
5,45,220
5,799,240
5,27,260
5,556,280
5,420,300
5,167,320
5,68,340
5,664,360
5,98,380
5,559,400
5,259,420
5,527,440
5,527,460
5,499,480
5,655,500
5,720,520
5,586,540
5,149,560
5,467,580
